gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,description
SMARCB1,7.61889906843729e-15,0.496925391087418,0.851,0.681,3.06561641816711e-10,SWI/SNF related BAF chromatin remodeling complex subunit B1 [Source:HGNC Symbol;Acc:HGNC:11103]
TMEM139,7.89442877698317e-15,0.896936980918324,0.455,0.173,3.17648130699472e-10,transmembrane protein 139 [Source:HGNC Symbol;Acc:HGNC:22058]
C22orf29,7.99672426213585e-15,0.704474382124041,0.754,0.454,3.2176419413556e-10,
YES1,8.26783940634945e-15,0.873231604086815,0.59,0.297,3.32673054193283e-10,"YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]"
PCLAF,8.67690999901778e-15,0.877752890262881,0.343,0.102,3.49132827630478e-10,PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]
PAGR1,9.09192023922076e-15,0.793775840623585,0.433,0.159,3.65831594665526e-10,PAXIP1 associated glutamate rich protein 1 [Source:HGNC Symbol;Acc:HGNC:28707]
MYC,9.56204077324123e-15,0.461286698659507,0.828,0.721,3.84747834592908e-10,"MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]"
DAZAP1,9.65580334157187e-15,0.760966068651897,0.582,0.278,3.88520559054827e-10,DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]
PDLIM5,9.67350755353691e-15,0.589305809368026,0.806,0.636,3.89232923431665e-10,PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]
LIPE,1.08570374591099e-14,0.634288285331475,0.336,0.097,4.36854616242205e-10,"lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]"
GTF2I,1.10197367390068e-14,0.76662939136375,0.724,0.442,4.43401147167418e-10,general transcription factor IIi [Source:HGNC Symbol;Acc:HGNC:4659]
SNORA4,1.13031980772031e-14,0.979060321461639,0.47,0.197,4.54806781032423e-10,"small nucleolar RNA, H/ACA box 4 [Source:HGNC Symbol;Acc:HGNC:32587]"
SNX24,1.18987536074781e-14,0.836793795358913,0.306,0.085,4.78770148904096e-10,sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]
ZMYND10,1.24250307816966e-14,0.787699239939966,0.149,0.019,4.99945963563127e-10,zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
MYOF,1.32168713086102e-14,0.676583469814596,0.776,0.535,5.31807250844547e-10,myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]
IGSF9,1.36045093343461e-14,0.837509154460179,0.619,0.328,5.47404642086082e-10,immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132]
RP11-341D18.2,1.37046282949329e-14,0.515892545054552,0.246,0.058,5.51433128703215e-10,
UPP1,1.3921813975491e-14,0.929171545044827,0.269,0.067,5.6017202893183e-10,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]
TPRA1,1.4492682718469e-14,0.944686494405892,0.463,0.184,5.83142074543036e-10,transmembrane protein adipocyte associated 1 [Source:HGNC Symbol;Acc:HGNC:30413]
LIG1,1.61597772375598e-14,0.86458258260842,0.552,0.257,6.50220956707693e-10,DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]
CPNE1,1.63243525712166e-14,0.478943812937385,0.888,0.678,6.56842974408041e-10,copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]
SRSF6,1.86662563910344e-14,0.338480190874363,0.985,0.887,7.51074158406053e-10,serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]
NSUN5,1.87607524714267e-14,0.670639989558267,0.709,0.357,7.54876397192798e-10,NOP2/Sun RNA methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:16385]
HERC4,1.88612860635263e-14,0.815950046983672,0.552,0.259,7.58921567338109e-10,HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:24521]
ACTR1B,1.89313296211502e-14,0.951745129439012,0.493,0.221,7.6173990996622e-10,actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]
PRELID3A,1.92140725586205e-14,0.853711019654963,0.254,0.061,7.73116637541214e-10,PRELI domain containing 3A [Source:HGNC Symbol;Acc:HGNC:24639]
KDELC2,2.01052748385693e-14,0.77460304127242,0.194,0.036,8.08975943679514e-10,
THOC5,2.01300194325365e-14,0.852693736332779,0.582,0.288,8.0997159190697e-10,THO complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:19074]
HSPBP1,2.02936880975126e-14,0.787013538783177,0.679,0.363,8.16557127979616e-10,HSPA (Hsp70) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24989]
MTHFD1,2.15266268315342e-14,0.823256120491583,0.642,0.376,8.66166883820441e-10,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]"
CTB-31O20.2,2.19085103226182e-14,0.893887301002279,0.336,0.103,8.81532729851188e-10,
RP4-631H13.2,2.21739530199732e-14,0.692844288721604,0.127,0.013,8.92213347664661e-10,
COL4A3,2.22316459708151e-14,0.633363106894032,0.179,0.031,8.94534738927687e-10,collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]
TMCO3,2.24486950601536e-14,0.884762107266919,0.522,0.228,9.03268143135399e-10,transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]
MARCH3,2.24747255722118e-14,0.757498207892762,0.321,0.093,9.04315532849086e-10,
IFITM3,2.33407758459287e-14,0.307939928544687,0.963,0.856,9.39162797712633e-10,interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]
GLYATL2,2.34332187342279e-14,1.02485526878465,0.284,0.076,9.4288242220913e-10,glycine-N-acyltransferase like 2 [Source:HGNC Symbol;Acc:HGNC:24178]
POC1A,2.46544574233643e-14,0.904349623097738,0.306,0.086,9.92021403343909e-10,POC1 centriolar protein A [Source:HGNC Symbol;Acc:HGNC:24488]
TOP3B,2.61550642357823e-14,0.452250392030639,0.351,0.108,1.05240131965517e-09,DNA topoisomerase III beta [Source:HGNC Symbol;Acc:HGNC:11993]
CAPN1,2.64739906658046e-14,0.516599611840299,0.851,0.635,1.06523396241998e-09,calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]
INTS7,2.65114861400963e-14,0.871522822151245,0.44,0.166,1.06674266781905e-09,integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]
KRT80,2.71897945212824e-14,0.96548979492914,0.276,0.073,1.09403576215284e-09,keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]
XRCC2,3.08557358518331e-14,0.817987689007269,0.239,0.055,1.24154224347021e-09,X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]
TAOK3,3.1755310577843e-14,0.80320345872251,0.664,0.366,1.27773843172067e-09,TAO kinase 3 [Source:HGNC Symbol;Acc:HGNC:18133]
ARL8B,3.17660487317176e-14,0.682960994550728,0.746,0.494,1.27817050281812e-09,ARF like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]
RF00092.3,3.30665071052688e-14,1.0324709447269,0.351,0.114,1.3304970463947e-09,
ESYT2,3.40008483584613e-14,0.727421763266071,0.701,0.411,1.36809213539941e-09,extended synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:22211]
RP11-1415C14.3,3.44809024265655e-14,0.791624520814202,0.582,0.285,1.38740807093772e-09,
SLC38A1,3.77245937730715e-14,0.628543606440517,0.806,0.55,1.51792447964708e-09,solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]
ABL2,3.80532860106217e-14,0.673003253046999,0.41,0.146,1.53115006920939e-09,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"
CNOT6L,3.84561695870307e-14,0.853497036366834,0.5,0.232,1.54736089567335e-09,CCR4-NOT transcription complex subunit 6 like [Source:HGNC Symbol;Acc:HGNC:18042]
RP11-467J12.4,3.90043395804628e-14,0.86781585619902,0.194,0.036,1.56941761169908e-09,
RP11-5C23.3,3.98682462988444e-14,0.856027067564367,0.388,0.132,1.6041786263266e-09,
PLXNB3,4.09978100819543e-14,0.71775517903004,0.41,0.144,1.64962888426759e-09,plexin B3 [Source:HGNC Symbol;Acc:HGNC:9105]
CENPF,4.41681145878485e-14,0.912795398656377,0.343,0.11,1.77719242667126e-09,centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]
HAPLN3,4.42697315355351e-14,0.937102260470801,0.515,0.244,1.78128118779532e-09,hyaluronan and proteoglycan link protein 3 [Source:HGNC Symbol;Acc:HGNC:21446]
NABP1,4.86172366865154e-14,0.796772093578249,0.455,0.189,1.95621175255532e-09,nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]
KIAA0355,5.01413295675889e-14,0.817811636678594,0.582,0.295,2.01753667781107e-09,
CTSF,5.37858391323413e-14,0.826700852557569,0.627,0.319,2.16418080916802e-09,cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]
AC093642.5,5.40550679684955e-14,0.715130151386088,0.41,0.148,2.17501376984836e-09,
EEPD1,5.44198348662085e-14,0.713688953570896,0.179,0.031,2.18969089551163e-09,endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22223]
AK4,5.52540716373209e-14,0.803941733006547,0.478,0.198,2.22325808047088e-09,adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]
RANBP17,5.58240263841807e-14,0.887663178924367,0.44,0.173,2.24619134962028e-09,RAN binding protein 17 [Source:HGNC Symbol;Acc:HGNC:14428]
RP11-845M18.6,5.70259745059886e-14,0.638616539868417,0.187,0.033,2.29455413619746e-09,
RGS11,5.86381990925272e-14,0.5808855113383,0.112,0.01,2.35942521688602e-09,regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]
C2orf69,6.08564862582851e-14,0.893500582284359,0.448,0.18,2.44868243757462e-09,chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]
PQLC3,6.14772465833908e-14,0.90148863569491,0.53,0.251,2.4736599707759e-09,
GOLGA8B,7.45122802048399e-14,0.784467903922296,0.552,0.272,2.99815061860214e-09,golgin A8 family member B [Source:HGNC Symbol;Acc:HGNC:31973]
RAB2A,7.52030971741881e-14,0.577545929280493,0.799,0.548,3.02594702099781e-09,"RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]"
KCTD7,7.52887441358261e-14,0.812768229368884,0.291,0.082,3.02939319779324e-09,potassium channel tetramerization domain containing 7 [Source:HGNC Symbol;Acc:HGNC:21957]
EIF4G2,7.72785781147435e-14,0.361989603604906,0.94,0.863,3.10945814760294e-09,eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]
GNAS,7.9114513674094e-14,0.295373241602019,0.97,0.89,3.18333068670452e-09,GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]
SRSF11,8.26758098469679e-14,0.364830582227169,0.918,0.804,3.32662656081245e-09,serine and arginine rich splicing factor 11 [Source:HGNC Symbol;Acc:HGNC:10782]
FLNA,8.64201781368061e-14,0.266611360347322,0.978,0.912,3.47728870769067e-09,filamin A [Source:HGNC Symbol;Acc:HGNC:3754]
MTBP,8.89547932679284e-14,0.730104718786779,0.343,0.105,3.57927401672163e-09,MDM2 binding protein [Source:HGNC Symbol;Acc:HGNC:7417]
CTD-2024I7.13,9.16505196184858e-14,0.603902831043102,0.194,0.037,3.68774195788901e-09,
CTD-2619J13.8,9.21239412553192e-14,0.422156758400416,0.134,0.016,3.70679102429028e-09,
SLF1,9.2688451372583e-14,0.759004051885183,0.381,0.13,3.72950521787862e-09,SMC5-SMC6 complex localization factor 1 [Source:HGNC Symbol;Acc:HGNC:25408]
SYNE4,9.68260882647892e-14,0.958708829055968,0.321,0.097,3.89599131351032e-09,spectrin repeat containing nuclear envelope family member 4 [Source:HGNC Symbol;Acc:HGNC:26703]
DGCR6L,1.03854578031445e-13,0.632516087394453,0.799,0.492,4.17879665625125e-09,DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551]
DHCR24,1.18660767874269e-13,0.93800180793133,0.425,0.164,4.77455331695695e-09,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
MYL9,1.24453294607522e-13,0.567604794270909,0.843,0.6,5.00762721512286e-09,myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]
USP19,1.40073773938779e-13,0.935252174967784,0.47,0.211,5.63614844197465e-09,ubiquitin specific peptidase 19 [Source:HGNC Symbol;Acc:HGNC:12617]
BRCA1,1.4823129884851e-13,0.768316552003068,0.284,0.079,5.96438277176751e-09,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]
ARHGAP1,1.49541143746729e-13,0.478110608454376,0.836,0.673,6.01708700093714e-09,Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]
CRYBG3,1.54699174593741e-13,0.734439425002836,0.321,0.1,6.22463068812837e-09,crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]
ADIRF-AS1,1.61984540144524e-13,0.863397276971015,0.388,0.143,6.51777194179521e-09,ADIRF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45127]
PYGO2,1.68831468519982e-13,0.902409580857178,0.448,0.188,6.79327179883853e-09,pygopus family PHD finger 2 [Source:HGNC Symbol;Acc:HGNC:30257]
EIF2B5,1.70081571894808e-13,0.875298549535442,0.455,0.182,6.84357220833139e-09,eukaryotic translation initiation factor 2B subunit epsilon [Source:HGNC Symbol;Acc:HGNC:3261]
PTBP2,1.74129450719651e-13,0.648922909313598,0.754,0.484,7.00644670860662e-09,polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]
KIF20B,1.76597918477758e-13,0.788745223786674,0.418,0.156,7.10577044578954e-09,kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]
GGCT,1.91834070590632e-13,0.665414174347333,0.701,0.424,7.71882749835526e-09,gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
UBE2D2,1.91904374829254e-13,0.645125095166368,0.754,0.514,7.72165633000468e-09,ubiquitin conjugating enzyme E2 D2 [Source:HGNC Symbol;Acc:HGNC:12475]
NPW,1.95158490342849e-13,0.756703907499737,0.172,0.03,7.8525921759252e-09,neuropeptide W [Source:HGNC Symbol;Acc:HGNC:30509]
ZNF28,1.98232899928791e-13,0.611831244820291,0.597,0.295,7.97629719443478e-09,zinc finger protein 28 [Source:HGNC Symbol;Acc:HGNC:13073]
TRPC4AP,2.01273342975589e-13,0.747101447276615,0.739,0.453,8.09863550130879e-09,transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]
B3GLCT,2.06685484825217e-13,0.9616466910269,0.299,0.091,8.31640385291225e-09,beta 3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20207]
SFMBT1,2.21482750431185e-13,0.843667064963978,0.396,0.145,8.91180142909957e-09,Scm like with four mbt domains 1 [Source:HGNC Symbol;Acc:HGNC:20255]
CYCS,2.23751813043887e-13,0.44336383317052,0.843,0.656,9.00310170144688e-09,"cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]"
ZYX,2.24278303828937e-13,0.680898658572126,0.754,0.467,9.02428611116493e-09,zyxin [Source:HGNC Symbol;Acc:HGNC:13200]
SSX2IP,2.41408470659025e-13,0.866437230491335,0.336,0.112,9.71355263390717e-09,SSX family member 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:16509]
C20orf27,2.48731045546274e-13,0.728457388958158,0.627,0.362,1.00081910796454e-08,
NOL12,2.52395329880058e-13,0.808820514958978,0.522,0.246,1.01556308883839e-08,nucleolar protein 12 [Source:HGNC Symbol;Acc:HGNC:28585]
SNAP29,2.6249534845602e-13,0.761085332452399,0.552,0.243,1.05620253358249e-08,synaptosome associated protein 29 [Source:HGNC Symbol;Acc:HGNC:11133]
CDS2,2.65620746864416e-13,0.582342050925081,0.761,0.548,1.06877819915835e-08,CDP-diacylglycerol synthase 2 [Source:HGNC Symbol;Acc:HGNC:1801]
MCM8,2.85063320951156e-13,0.786582979122358,0.224,0.054,1.14700928451117e-08,minichromosome maintenance 8 homologous recombination repair factor [Source:HGNC Symbol;Acc:HGNC:16147]
GK5,2.88589031846072e-13,0.777473620865901,0.507,0.235,1.16119568743904e-08,glycerol kinase 5 [Source:HGNC Symbol;Acc:HGNC:28635]
HSPA6,2.96215907090412e-13,0.706558210011953,0.104,0.009,1.19188394535969e-08,heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]
RNF24,2.96595658347248e-13,0.631004339356259,0.791,0.533,1.19341195049182e-08,ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]
TTC39C,2.9724765019893e-13,0.572791159602373,0.799,0.562,1.19603537010544e-08,tetratricopeptide repeat domain 39C [Source:HGNC Symbol;Acc:HGNC:26595]
CLPTM1,3.6375135535322e-13,0.783527273759311,0.597,0.307,1.46362632853475e-08,CLPTM1 regulator of GABA type A receptor forward trafficking [Source:HGNC Symbol;Acc:HGNC:2087]
NAGA,3.94056156939512e-13,0.837783546543531,0.582,0.298,1.58556375867751e-08,alpha-N-acetylgalactosaminidase [Source:HGNC Symbol;Acc:HGNC:7631]
MED25,4.00432406556124e-13,0.786968216552942,0.418,0.167,1.61121987425987e-08,mediator complex subunit 25 [Source:HGNC Symbol;Acc:HGNC:28845]
ABHD10,4.10960784487833e-13,0.911819604737522,0.41,0.16,1.65358290854369e-08,"abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]"
PIM1,4.28964015680068e-13,0.933850403060827,0.351,0.12,1.72602250989189e-08,"Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]"
GPD2,4.42530826315332e-13,0.810061737585035,0.53,0.26,1.780611285845e-08,glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]
ARVCF,4.46841794710514e-13,0.904486555714356,0.381,0.143,1.7979573293767e-08,ARVCF delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]
SNORA63,4.5079842270382e-13,0.914905757381666,0.485,0.209,1.81387761343336e-08,Small nucleolar RNA SNORA63 [Source:RFAM;Acc:RF00092]
SNORA63,4.5079842270382e-13,0.914905757381666,0.485,0.209,1.81387761343336e-08,"small nucleolar RNA, H/ACA box 63 [Source:HGNC Symbol;Acc:HGNC:10106]"
DHX35,4.65632531901304e-13,0.870202013178478,0.448,0.182,1.87356561861128e-08,DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]
EFCAB14,4.71675854468882e-13,0.777119809381702,0.642,0.352,1.89788213562644e-08,EF-hand calcium binding domain 14 [Source:HGNC Symbol;Acc:HGNC:29051]
ICAM1,4.74250281590014e-13,0.653113267543682,0.119,0.013,1.90824085803374e-08,intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]
RP11-796I2.2,4.92750856698398e-13,0.813302728583239,0.276,0.077,1.98268162209734e-08,
TJP3,5.33226532906402e-13,0.944999354955911,0.388,0.15,2.14554360045549e-08,tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]
RAB11FIP1,5.50124993425687e-13,0.801073473626818,0.567,0.297,2.21353793604694e-08,RAB11 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30265]
TMEM9B,5.6873305060087e-13,0.71164734699819,0.672,0.407,2.28841117570272e-08,TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]
TNFRSF12A,5.74873152895653e-13,0.769219376888579,0.642,0.351,2.31311710530624e-08,TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]
PLEKHA7,5.98788364146265e-13,0.745738233166234,0.627,0.329,2.40934474081532e-08,pleckstrin homology domain containing A7 [Source:HGNC Symbol;Acc:HGNC:27049]
GPC2,6.05852987470496e-13,0.838872675576526,0.246,0.066,2.43777066568503e-08,glypican 2 [Source:HGNC Symbol;Acc:HGNC:4450]
ARL13B,6.07210376962997e-13,0.768059785853011,0.56,0.272,2.44323239378601e-08,ARF like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]
VDR,6.20605915741232e-13,0.779283262925837,0.261,0.071,2.49713202316799e-08,vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]
FZD6,6.24207675029782e-13,0.740203543661192,0.664,0.409,2.51162442201733e-08,frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]
PICK1,6.36910774744046e-13,0.876794194805409,0.418,0.172,2.56273788433762e-08,protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]
KIF11,6.68613905695768e-13,0.739270472540522,0.254,0.064,2.69030177234806e-08,kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]
EVA1A,6.86948967441332e-13,0.846785101771686,0.425,0.167,2.76407656029369e-08,"eva-1 homolog A, regulator of programmed cell death [Source:HGNC Symbol;Acc:HGNC:25816]"
FAHD2A,7.01188778606683e-13,0.671638725927915,0.709,0.474,2.82137328847971e-08,fumarylacetoacetate hydrolase domain containing 2A [Source:HGNC Symbol;Acc:HGNC:24252]
KIF3C,7.22853536307284e-13,0.867948143467707,0.343,0.119,2.90854577403962e-08,kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321]
DIP2A,7.25328006642132e-13,0.712218819165577,0.672,0.383,2.91850230032594e-08,disco interacting protein 2 homolog A [Source:HGNC Symbol;Acc:HGNC:17217]
CPS1,7.46048418660229e-13,0.53004249756905,0.187,0.037,3.00187502216316e-08,carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]
RNASEH2C,7.47799281317324e-13,0.761164891955849,0.552,0.25,3.00891996823652e-08,ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]
CTD-2331H7.1,7.85092912083693e-13,0.823486196877122,0.328,0.113,3.15897835035115e-08,
THEM6,8.6873763502381e-13,0.825021412902082,0.5,0.217,3.4955396220453e-08,thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]
TPX2,8.71694505532287e-13,0.842780811532521,0.276,0.077,3.50743718191026e-08,TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]
KRTCAP3,9.10740811303013e-13,0.793558489539825,0.627,0.312,3.66454780243993e-08,keratinocyte associated protein 3 [Source:HGNC Symbol;Acc:HGNC:28943]
IL17RD,9.54058619272318e-13,0.766978814358403,0.56,0.287,3.83884566636602e-08,interleukin 17 receptor D [Source:HGNC Symbol;Acc:HGNC:17616]
RIN1,9.54401704405632e-13,0.712824140214074,0.164,0.029,3.84022613801694e-08,Ras and Rab interactor 1 [Source:HGNC Symbol;Acc:HGNC:18749]
PIK3CB,9.58879597215575e-13,0.840090867104466,0.485,0.229,3.85824383531631e-08,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]"
DUT,9.67248419788634e-13,0.612745483029503,0.754,0.489,3.89191746670353e-08,deoxyuridine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3078]
SSRP1,9.86815887172355e-13,0.73633073659916,0.649,0.348,3.9706510852154e-08,structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]
ZNF525,9.92560524540595e-13,0.364068212699975,0.343,0.115,3.99376578259399e-08,zinc finger protein 525 [Source:HGNC Symbol;Acc:HGNC:29423]
EXO1,1.01455852921153e-12,0.786301243026063,0.187,0.038,4.08227915398844e-08,exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]
PGAP1,1.1162404108791e-12,0.647903260250537,0.657,0.337,4.49141654125425e-08,post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]
NUP50,1.17207424695074e-12,0.640610989211092,0.724,0.51,4.71607514745568e-08,nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]
RBCK1,1.19726620725463e-12,0.69382090839544,0.701,0.433,4.81744003813046e-08,RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]
ENTPD6,1.2037427989451e-12,0.671509249615571,0.709,0.469,4.84349990011539e-08,ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]
LDLRAP1,1.2875652625004e-12,0.857555216622675,0.358,0.124,5.18077634672287e-08,low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]
LY6E,1.48147582423347e-12,0.493605347680072,0.821,0.633,5.9610142739682e-08,lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]
GMNN,1.48816282537432e-12,0.907711091308975,0.373,0.134,5.98792076045865e-08,geminin DNA replication inhibitor [Source:HGNC Symbol;Acc:HGNC:17493]
AMOTL2,1.49167737106566e-12,0.844960034861242,0.515,0.244,6.00206223795691e-08,angiomotin like 2 [Source:HGNC Symbol;Acc:HGNC:17812]
RP11-296A18.5,1.53095594809418e-12,0.523271311323847,0.739,0.497,6.16010744834657e-08,
VAPB,1.53701706439221e-12,0.689601622095746,0.672,0.404,6.18449556199492e-08,VAMP associated protein B and C [Source:HGNC Symbol;Acc:HGNC:12649]
ASL,1.60724375442804e-12,0.786512678020555,0.53,0.253,6.46706669469212e-08,argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]
PRKDC,1.61991652908277e-12,0.485932713334114,0.896,0.695,6.51805813807033e-08,"protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]"
ZNF266,1.7077582327244e-12,0.882674870812268,0.642,0.397,6.87150680101317e-08,zinc finger protein 266 [Source:HGNC Symbol;Acc:HGNC:13059]
MFSD4A,1.83199119750555e-12,0.79345060219265,0.328,0.111,7.37138298140309e-08,major facilitator superfamily domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25433]
RF02272,1.93649758318439e-12,0.70525439265632,0.201,0.043,7.79188532545904e-08,
PCDH1,2.13243594879567e-12,0.712968737755451,0.216,0.051,8.58028252716914e-08,protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]
HSBP1L1,2.13319547164079e-12,0.775093455728246,0.403,0.156,8.58333861924104e-08,heat shock factor binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:37243]
MAP7D2,2.1763138039231e-12,0.707395736590845,0.201,0.044,8.75683385284537e-08,MAP7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25899]
HAUS4,2.18108917766383e-12,0.843338067774484,0.485,0.226,8.77604852416595e-08,HAUS augmin like complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:20163]
SNHG15,2.23078721533018e-12,0.64664742220902,0.679,0.434,8.97601851832405e-08,small nucleolar RNA host gene 15 [Source:HGNC Symbol;Acc:HGNC:27797]
RASD2,2.28243506715564e-12,0.747445124897671,0.321,0.104,9.18383397971415e-08,RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229]
TMEM209,2.31557847622191e-12,0.763189373767536,0.597,0.319,9.31719311477412e-08,transmembrane protein 209 [Source:HGNC Symbol;Acc:HGNC:21898]
TTC3,2.38129250913709e-12,0.424494170056918,0.925,0.76,9.5816066690149e-08,tetratricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12393]
