gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,description
HEXA,5.46266511438719e-09,-0.606841563187881,0.373,0.609,0.000219801256207597,hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]
HUWE1,6.10738435776095e-09,-0.476553783359521,0.597,0.801,0.000245742824403227,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]"
SYNPO2,6.3386649958621e-09,-0.977706418238554,0.007,0.219,0.000255048863438503,synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]
AC009362.2,6.53087021998117e-09,-0.69071436622638,0.209,0.483,0.000262782625041382,
SCPEP1,7.08992125549328e-09,-0.282372613140836,0.724,0.802,0.000285277161557283,serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]
RP11-244J10.1,7.23027640819196e-09,-0.710974261793229,0.149,0.421,0.00029092463183642,
ATP6V1G1,8.56972308815946e-09,-0.386832242043505,0.634,0.822,0.000344819947898272,ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]
NPC2,1.0542281121612e-08,-0.284364527999862,0.769,0.866,0.000424189765490301,NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]
RPL9P28,1.05644904858676e-08,-0.657021111369229,0.104,0.364,0.000425083403679855,ribosomal protein L9 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:36445]
RP11-624L12.1,1.06522657782504e-08,-0.303584674852237,0.784,0.942,0.000428615218119461,
CERS3,1.20571428084139e-08,-1.0504386228625,0,0.202,0.00048514325518215,ceramide synthase 3 [Source:HGNC Symbol;Acc:HGNC:23752]
PARP8,1.315391978026e-08,-0.785497735813568,0.015,0.224,0.00052927427019832,poly(ADP-ribose) polymerase family member 8 [Source:HGNC Symbol;Acc:HGNC:26124]
SMARCA2,1.36360428648766e-08,-0.444702537192021,0.619,0.788,0.000548673456754039,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2 [Source:HGNC Symbol;Acc:HGNC:11098]
CD200,1.40115413708945e-08,-1.07404437679221,0.052,0.285,0.000563782390140682,CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]
COMMD6,1.40960714841829e-08,-0.342240980724969,0.694,0.782,0.000567183628309067,COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015]
RP11-21K20.1,1.43955794683428e-08,-0.355202273646206,0.612,0.803,0.000579234931067708,
RP11-16F15.2,1.44007743795432e-08,-0.708161105493227,0.119,0.361,0.000579443958709679,
ZNF704,1.56949724441778e-08,-0.655541657156492,0.007,0.212,0.000631518606236383,zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291]
KIAA1324L,1.63772079467778e-08,-0.894970220308145,0.015,0.22,0.000658969716154498,
NEXN,1.68362105187884e-08,-1.02627088486718,0.06,0.28,0.00067743860264449,nexilin F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:29557]
PDGFRA,1.70593951565315e-08,-0.906097596751162,0.216,0.447,0.000686418882913359,platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]
PTPRD,1.85055378140593e-08,-0.8096480602549,0.022,0.231,0.000744607325024303,protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]
UTY,1.86012935787923e-08,-0.834866275530688,0.007,0.208,0.000748460249729864,"ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]"
MIR100HG,2.04585804476525e-08,-0.867678870898856,0.03,0.243,0.000823191901472195,mir-100-let-7a-2-mir-125b-1 cluster host gene [Source:HGNC Symbol;Acc:HGNC:39522]
COL27A1,2.17570074885665e-08,-0.489130095171673,0.552,0.768,0.00087543671031745,collagen type XXVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22986]
ARID1B,2.5039575534303e-08,-0.478438170019884,0.5,0.745,0.00100751740077375,AT-rich interaction domain 1B [Source:HGNC Symbol;Acc:HGNC:18040]
PITX2,2.52613375245514e-08,-0.953012645537435,0.03,0.239,0.00101644043797537,paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]
MIR22HG,2.54656611668784e-08,-1.06474566589793,0.052,0.269,0.00102466180837168,MIR22 host gene [Source:HGNC Symbol;Acc:HGNC:28219]
DDIT4,2.56720167387772e-08,-0.521805895864597,0.455,0.681,0.00103296493751818,DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]
NFAT5,2.59893317149403e-08,-0.47131327382766,0.634,0.801,0.00104573274021405,nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]
RSL24D1,2.96777703053966e-08,-0.453383646417447,0.552,0.742,0.00119414444377824,ribosomal L24 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18479]
AC005062.2,3.04236095733705e-08,-0.455876988202024,0.246,0.493,0.00122415477840371,
SLIT2,3.22962539455004e-08,-0.808803214481587,0.037,0.254,0.0012995043700051,slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]
CD93,3.26041495613741e-08,-1.02450878825261,0,0.192,0.00131189316590101,CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]
H2AFJ,3.60788858337941e-08,-0.854729623526193,0.194,0.422,0.00145170612929437,
C1R,3.62619075526206e-08,-1.05157038081264,0.134,0.361,0.00145907037419479,complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]
SLC39A11,3.8745817526498e-08,-0.917414888707023,0.164,0.386,0.0015590154598137,solute carrier family 39 member 11 [Source:HGNC Symbol;Acc:HGNC:14463]
WDR81,3.88706759815021e-08,-0.883359781134396,0.075,0.298,0.0015640393894677,WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]
SNRPN,4.10205182514361e-08,-0.564919495795925,0.41,0.628,0.00165054259288303,small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164]
ATF7IP2,4.24146309680339e-08,-0.761457159852734,0.067,0.282,0.00170663750626078,activating transcription factor 7 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:20397]
CHD7,4.35644848468607e-08,-0.659435367006097,0.276,0.521,0.00175290417678313,chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]
RP3-329A5.4,4.69052825356377e-08,-0.965741479299219,0.09,0.314,0.00188732785338645,
FIP1L1,4.72258873505517e-08,-0.6649437164443,0.358,0.562,0.00190022802932415,factor interacting with PAPOLA and CPSF1 [Source:HGNC Symbol;Acc:HGNC:19124]
ZSCAN31,4.78272533007163e-08,-0.766448731706335,0.09,0.323,0.00192442519106092,zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]
RP11-571F15.3,4.82392988057763e-08,-0.384310312001436,0.582,0.794,0.00194100466604802,
AP000688.8,5.43594383612653e-08,-1.0309694482959,0.007,0.2,0.00218726072134223,
IGFBP5,5.68761368574914e-08,-0.88421470519695,0.015,0.208,0.00228852511873488,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]
HTRA1,6.19650090773104e-08,-1.09593570807015,0.03,0.233,0.00249328607024374,HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]
ZNF750,6.2334462362817e-08,-0.905057368784381,0.067,0.292,0.00250815176209267,zinc finger protein 750 [Source:HGNC Symbol;Acc:HGNC:25843]
AP000525.10,6.47982222453743e-08,-0.494001438619299,0,0.185,0.00260728606848713,
HIST1H4C,6.62143870335618e-08,-0.832929330585958,0.276,0.469,0.00266426829106943,
IQCA1,6.68827143757112e-08,-1.11113825082391,0.022,0.217,0.00269115977833549,IQ motif containing with AAA domain 1 [Source:HGNC Symbol;Acc:HGNC:26195]
MXRA5,7.69420656116216e-08,-0.895988967466288,0.015,0.206,0.00309591789401482,matrix remodeling associated 5 [Source:HGNC Symbol;Acc:HGNC:7539]
C12orf57,8.14679778812202e-08,-0.405368110201842,0.582,0.742,0.00327802702600666,chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]
ADRBK2,8.59196479810183e-08,-0.821506328803624,0.037,0.236,0.00345714887581223,
RP1-241P17.4,8.85118491001262e-08,-0.282896532653012,0.724,0.85,0.00356145127224178,
LL22NC03-N14H11.1,9.56129167092525e-08,-0.810195569298395,0,0.181,0.00384717692963019,
RP11-513I15.5,9.87489937024495e-08,-0.568388484136757,0.246,0.494,0.00397336325960546,
GMFG,1.01067558234942e-07,-1.12262271536149,0.007,0.192,0.00406665534069936,glia maturation factor gamma [Source:HGNC Symbol;Acc:HGNC:4374]
RP11-627K11.1,1.03243385660141e-07,-0.264662786427952,0.746,0.856,0.0041542041088071,
CTC-497E21.4,1.05338374431599e-07,-0.987757541373579,0,0.18,0.00423850017200423,
CMKLR1,1.05338374431599e-07,-0.935761452015194,0,0.18,0.00423850017200423,chemerin chemokine-like receptor 1 [Source:HGNC Symbol;Acc:HGNC:2121]
YTHDC1,1.07533783439496e-07,-0.527198052988131,0.537,0.678,0.00432683684425501,YTH N6-methyladenosine RNA binding protein C1 [Source:HGNC Symbol;Acc:HGNC:30626]
DDX6,1.0824343815387e-07,-0.402002524410618,0.597,0.738,0.00435539122099726,DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]
HLA-E,1.08465265515522e-07,-0.438769729776285,0.709,0.801,0.00436431688854806,"major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]"
MAGEH1,1.12275081255702e-07,-1.13984323172304,0.015,0.202,0.00451761244448569,MAGE family member H1 [Source:HGNC Symbol;Acc:HGNC:24092]
RP11-269F19.4,1.14150366424492e-07,-0.694342983999282,0.119,0.342,0.00459306829382229,
GNG2,1.16753234626408e-07,-0.813203036418065,0.052,0.261,0.00469779990166277,G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]
EFEMP2,1.19166184332994e-07,-0.902599901623176,0.127,0.353,0.00479488975900669,EGF containing fibulin extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]
C1S,1.22398666106257e-07,-1.00118623408817,0.015,0.204,0.00492495512811747,complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]
RP11-462L8.2,1.25457276775131e-07,-0.389686180065608,0.522,0.714,0.00504802444560096,
AC107983.4,1.2616129317658e-07,-0.715470249303538,0.082,0.297,0.00507635195354606,
PLN,1.27798592867993e-07,-1.14632468539469,0,0.178,0.00514223198122943,phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]
TXLNG2P,1.27798592867993e-07,-0.680365451637997,0,0.178,0.00514223198122943,
AC021016.7,1.33501263656432e-07,-0.44180185567061,0.47,0.674,0.00537169034574385,
BMPER,1.34401734733283e-07,-0.960442590937588,0.045,0.241,0.0054079226004631,BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]
SLC6A10P,1.4073297801191e-07,-0.588144629032447,0,0.177,0.00566267283626522,"solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]"
SLC6A10P,1.4073297801191e-07,-0.588144629032447,0,0.177,0.00566267283626522,"solute carrier family 6 member 10, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:386757]"
MAEA,1.41622097658691e-07,-0.500139584654483,0.478,0.69,0.00569844834349273,"macrophage erythroblast attacher, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:13731]"
MFAP4,1.54952764742811e-07,-1.24870256300863,0,0.176,0.0062348343949565,microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]
ALDOC,1.71959883211428e-07,-1.18432999365972,0.015,0.197,0.00691914982077823,"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"
CTD-3014M21.1,1.72045056691747e-07,-0.995589148633325,0.015,0.198,0.00692257694610581,
SNRPEP2,1.72613450511245e-07,-0.5842856837698,0.328,0.534,0.00694544740822097,SNRPE pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:20733]
RP1-83M4.2,1.76665055942955e-07,-0.565769076421045,0.231,0.488,0.00710847185597669,
RCN3,1.95006713260912e-07,-1.04483596958598,0.06,0.256,0.00784648512147932,reticulocalbin 3 [Source:HGNC Symbol;Acc:HGNC:21145]
POTEKP,2.0092831280267e-07,-0.753417170091417,0.261,0.454,0.00808475252224105,"POTE ankyrin domain family member K, pseudogene [Source:HGNC Symbol;Acc:HGNC:30182]"
CTD-2248H3.1,2.11009510588843e-07,-0.60822904926287,0.246,0.477,0.00849038967756328,
FAUP1,2.19371073614889e-07,-0.268814400778395,0.776,0.88,0.00882683388904231,FAU pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17984]
SNRPFP1,2.20304683344305e-07,-0.697014452240404,0.209,0.432,0.0088643995437248,small nuclear ribonucleoprotein polypeptide F pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16551]
TMEM144,2.27380683482921e-07,-0.570797956746841,0,0.171,0.0091491165613023,transmembrane protein 144 [Source:HGNC Symbol;Acc:HGNC:25633]
CELSR1,2.28749293394876e-07,-0.589231372191698,0.299,0.541,0.00920418531832961,cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
MGST2,2.34820174622034e-07,-1.03269350584065,0.015,0.197,0.00944845936626677,microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063]
OSTC,2.673168746433e-07,-0.469354861342224,0.507,0.689,0.0107560290850224,oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]
SLCO3A1,2.75193233687483e-07,-0.835081329062908,0,0.169,0.0110729501438832,solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]
CTC-232H10.1,2.81139600890971e-07,-0.481771419700155,0.396,0.61,0.01131221412105,
CUX1,3.10420148587889e-07,-0.467897478390985,0.485,0.712,0.0124903755187309,cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]
AC018865.8,3.18026854941351e-07,-0.681335585438981,0.09,0.305,0.0127964465622752,
CAPN12,3.51920062060578e-07,-0.591625279684036,0.239,0.464,0.0141602075371315,calpain 12 [Source:HGNC Symbol;Acc:HGNC:13249]
P4HA2,3.69597883169789e-07,-0.692744358913999,0.291,0.494,0.0148715100251028,prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]
IRF2BPL,3.92002174433344e-07,-0.501652684789109,0.537,0.653,0.0157729914926745,interferon regulatory factor 2 binding protein like [Source:HGNC Symbol;Acc:HGNC:14282]
POMP,4.24520388079251e-07,-0.461773129899528,0.545,0.777,0.0170814268551448,proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]
SCRG1,4.2727749040226e-07,-0.85052274629535,0.157,0.359,0.0171923643813157,stimulator of chondrogenesis 1 [Source:HGNC Symbol;Acc:HGNC:17036]
GTF2IP18,4.38097386954924e-07,-0.317403719707951,0.03,0.219,0.0176277245589053,
AC000089.3,4.3911721802581e-07,-0.372472191433018,0.567,0.769,0.0176687595017045,
SNRPE,4.96400570785341e-07,-0.299913446430442,0.634,0.706,0.0199736697666898,small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]
RP11-534L20.4,5.30417454071892e-07,-0.510114935660119,0.142,0.372,0.0213424070994907,
RPS8P3,5.42112849771815e-07,-0.510302084888744,0.231,0.464,0.0218129947362685,ribosomal protein S8 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:31000]
RP11-9D8.1,5.63408126564031e-07,-0.629907340887311,0.022,0.198,0.0226698527885569,
COLEC11,5.68167294878067e-07,-0.998223439549553,0.007,0.177,0.0228613474440088,collectin subfamily member 11 [Source:HGNC Symbol;Acc:HGNC:17213]
SARAF,5.79436733531681e-07,-0.271275559900128,0.709,0.841,0.0233147958471142,store-operated calcium entry associated regulatory factor [Source:HGNC Symbol;Acc:HGNC:28789]
SNORD3B-2,5.90574940698146e-07,-0.690950969453637,0.03,0.209,0.0237629638888713,"small nucleolar RNA, C/D box 3B-2 [Source:HGNC Symbol;Acc:HGNC:33190]"
AC131180.4,6.28092309518691e-07,-0.618249475927252,0.007,0.173,0.0252725502581036,
SESN3,6.49980834552279e-07,-0.675550109802756,0.119,0.327,0.02615327883988,sestrin 3 [Source:HGNC Symbol;Acc:HGNC:23060]
RP11-380I10.1,6.70771417334268e-07,-0.356114638412645,0.545,0.697,0.0269898295192789,
WSB1,7.24009985205191e-07,-0.380640086395777,0.687,0.843,0.0291319897747013,WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]
RP11-40C6.2,7.45117342053042e-07,-0.549299391218743,0.373,0.645,0.0299812864921883,
CTD-2161E19.1,7.66244923840601e-07,-0.331580092926641,0.619,0.806,0.0308313970005743,
H19,7.77860052294481e-07,-0.777180354706826,0,0.158,0.031298754924173,H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]
RP11-829H16.2,8.05191723400056e-07,-0.562333619201219,0.067,0.264,0.032398499374448,
JARID2,8.15967185333572e-07,-0.692511069897085,0.201,0.41,0.0328320716362669,jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]
LBH,9.05044523330051e-07,-0.987983601630664,0.052,0.235,0.0364162764852313,LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]
C14orf37,9.25760913525356e-07,-0.807297806074528,0.037,0.217,0.0372498418775198,
TENM2,9.69165832264841e-07,-0.815233787448403,0.075,0.259,0.0389963255928404,teneurin transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:29943]
DSG1,1.02954710678858e-06,-0.867424229678603,0,0.155,0.0414258869358519,desmoglein 1 [Source:HGNC Symbol;Acc:HGNC:3048]
PTH2R,1.04609365350099e-06,-0.781874392942783,0.007,0.17,0.0420916703359195,parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]
PDZK1P1,1.06365045979004e-06,-0.694850205312181,0.03,0.201,0.0427981035505719,PDZ domain containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31974]
RP11-196N14.1,1.13006540933605e-06,-0.575333592842606,0,0.154,0.0454704418754546,
KCNIP3,1.18449603427371e-06,-0.754354431060609,0.03,0.205,0.0476605669310711,potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523]
CCDC88C,1.18791577363684e-06,-0.643388300604573,0.179,0.398,0.0477981669838256,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]
DKK3,1.21207092973592e-06,-0.57789953995225,0.358,0.555,0.0487700979997842,dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]
PCDHB16,1.24022134025058e-06,-0.701628406265456,0,0.153,0.0499027860676625,protocadherin beta 16 [Source:HGNC Symbol;Acc:HGNC:14546]
TBX22,1.24022134025058e-06,-0.939629341090853,0,0.153,0.0499027860676625,T-box transcription factor 22 [Source:HGNC Symbol;Acc:HGNC:11600]
MLLT3,1.28048865739703e-06,-0.607070130506453,0.149,0.37,0.0515230221076844,MLLT3 super elongation complex subunit [Source:HGNC Symbol;Acc:HGNC:7136]
RPL13AP3,1.32743788538283e-06,-0.410191374337244,0.134,0.359,0.053412118194149,ribosomal protein L13a pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23539]
RPL13AP3,1.32743788538283e-06,-0.410191374337244,0.134,0.359,0.053412118194149,ribosomal protein L13a pseudogene 3 [Source:NCBI gene (formerly Entrezgene);Acc:645683]
KRT23,1.43766114895471e-06,-0.366130566604586,0.627,0.817,0.0578471716504906,keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]
RP11-330L19.1,1.47121449152879e-06,-0.590769280096818,0.082,0.279,0.0591972574956438,
JKAMP,1.59700351956933e-06,-0.66132923983047,0.209,0.442,0.0642586306169112,JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]
WNK2,1.66753968082452e-06,-0.648272676501489,0.313,0.482,0.0670967941373361,WNK lysine deficient protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14542]
MPP7,1.68116518653249e-06,-0.741782472931663,0.015,0.172,0.0676450436105076,MAGUK p55 scaffold protein 7 [Source:HGNC Symbol;Acc:HGNC:26542]
ADAMTS17,1.72745260968412e-06,-0.770335482333313,0.261,0.428,0.0695075106558601,ADAM metallopeptidase with thrombospondin type 1 motif 17 [Source:HGNC Symbol;Acc:HGNC:17109]
NDUFA8,1.77727165880022e-06,-0.588503354421259,0.313,0.522,0.0715120797351447,NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]
EMB,1.86279584146786e-06,-0.80080148915012,0.007,0.16,0.0749533162731422,embigin [Source:HGNC Symbol;Acc:HGNC:30465]
NINJ2,1.89312026296557e-06,-0.990372294417765,0.015,0.171,0.0761734800209457,ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825]
CP,1.9388425175049e-06,-0.951977278065174,0.037,0.212,0.0780132063768447,ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
ITIH5,2.16067332480872e-06,-0.764998422058484,0,0.147,0.0869390125703287,inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]
ACTA2,2.22721435857583e-06,-0.419475426767888,0.53,0.632,0.0896164241460155,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
RP11-521I2.1,2.28697231139808e-06,-0.54927261688257,0.209,0.411,0.0920209048937246,
SULF2,2.50178439450073e-06,-0.779489726894431,0.037,0.203,0.100664298681526,sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]
RP3-393E18.1,2.51471239150967e-06,-0.386315926109905,0.53,0.776,0.101184482497175,
VSNL1,2.53005187680467e-06,-0.90705461871455,0.022,0.182,0.10180169736699,visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]
RHOB,2.5606304223424e-06,-0.513909135550525,0.284,0.546,0.103032086303791,ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]
CTA-276O3.4,2.56448686464269e-06,-0.642060340446287,0.067,0.25,0.103187257972628,
SLC2A3,2.61005399685926e-06,-0.784490769250335,0.007,0.16,0.105020742671626,solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]
RP11-21I4.3,2.84655281362151e-06,-0.989787681367436,0,0.144,0.114536745561689,
DUXAP9,2.84655281362151e-06,-0.318741321257338,0,0.144,0.114536745561689,double homeobox A pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:32188]
DUXAP9,2.84655281362151e-06,-0.318741321257338,0,0.144,0.114536745561689,double homeobox A pseudogene 9 [Source:NCBI gene (formerly Entrezgene);Acc:503638]
ALDH9A1,2.94190226972195e-06,-0.402032185993154,0.537,0.706,0.118373321626802,aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]
RP11-7F17.1,2.98835209903812e-06,-0.557263235862134,0.075,0.259,0.120242323408997,
RREB1,3.03391815325376e-06,-0.448033133584674,0.47,0.656,0.122075764732471,ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]
PDE4D,3.12333912636276e-06,-0.777750845931606,0.388,0.501,0.125673796427458,phosphodiesterase 4D [Source:HGNC Symbol;Acc:HGNC:8783]
ZNF827,3.69644392692358e-06,-0.629884008628434,0.179,0.381,0.148733814287624,zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]
MTHFS,3.75993704793415e-06,-0.71394568239358,0.142,0.33,0.151288586997727,methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]
PDZD8,3.80555607731189e-06,-0.526605154984394,0.112,0.31,0.153124159882798,PDZ domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26974]
NUDT10,3.86327258005931e-06,-0.607548194966539,0.015,0.166,0.155446498803846,nudix hydrolase 10 [Source:HGNC Symbol;Acc:HGNC:17621]
RPS3AP49,3.96249184773212e-06,-0.286453403335517,0.642,0.786,0.159438784477197,RPS3A pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:36810]
BCAS3,4.30503555603004e-06,-0.653549408977869,0.194,0.394,0.173221715667981,BCAS3 microtubule associated cell migration factor [Source:HGNC Symbol;Acc:HGNC:14347]
COL9A1,4.41447511734978e-06,-0.544048986495438,0.388,0.614,0.177625235296803,collagen type IX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2217]
ADGRL2,4.48425180575343e-06,-0.664682299946103,0.097,0.289,0.180432839908101,adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]
NCRNA00185,4.49453508890395e-06,-0.553378256354484,0,0.139,0.180846608372228,
FUCA1,4.54454871294922e-06,-0.930737167050124,0.075,0.255,0.182859006562938,alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]
AKR1C3,4.59679485109623e-06,-0.959645152727057,0.06,0.224,0.184961234423559,aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]
BAMBI,4.59979942622156e-06,-0.786425998263839,0.119,0.309,0.185082129512877,BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]
MAGEA4,4.7056836682077e-06,-1.07129977593572,0.007,0.15,0.189342593757673,MAGE family member A4 [Source:HGNC Symbol;Acc:HGNC:6802]
RP11-49K4.1,4.92246249316266e-06,-0.729781926307818,0,0.138,0.198065123337386,
AC022596.6,4.9480115474544e-06,-0.433808774643741,0.44,0.64,0.199093140634923,
TRIB2,4.96936295177019e-06,-0.709240995682793,0.112,0.301,0.199952257090377,tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
RP11-621K7.1,4.9712604572207e-06,-0.525527173533792,0.149,0.36,0.200028607017189,
RERG,4.99614590328056e-06,-0.915167861176962,0.022,0.174,0.2010299227103,RAS like estrogen regulated growth inhibitor [Source:HGNC Symbol;Acc:HGNC:15980]
RP11-723P16.3,5.01290667219685e-06,-0.771662800420645,0.075,0.242,0.201704325769185,
USP11,5.61185226486638e-06,-0.484962293569731,0.425,0.662,0.225804099581429,ubiquitin specific peptidase 11 [Source:HGNC Symbol;Acc:HGNC:12609]
RPL41P2,5.77119419917236e-06,-0.584606566494956,0.119,0.315,0.232215540992098,ribosomal protein L41 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:10357]
BRD3,5.82658520982398e-06,-0.380247669332567,0.575,0.769,0.234444309087688,bromodomain containing 3 [Source:HGNC Symbol;Acc:HGNC:1104]
RP11-248C1.2,5.9020688998129e-06,-0.504913792107089,0,0.136,0.237481546321772,
RP13-204A15.4,5.93399673108245e-06,-0.863585638965328,0.045,0.205,0.238766226468564,
TBC1D9,6.43341198717021e-06,-0.727289113734561,0.015,0.161,0.258861198127768,TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]
SOX8,6.46143555212899e-06,-0.809365150029482,0,0.135,0.259988782311014,SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]
KPNA5,6.50080587719821e-06,-0.526395285247812,0.082,0.261,0.261572926080824,karyopherin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6398]
RP11-175B9.3,6.80543887118789e-06,-0.324249442934313,0.657,0.827,0.273830443859987,
AC010877.1,7.01781626613884e-06,-0.443809397663802,0.41,0.603,0.282375873100628,
FOXO3,7.11951017992045e-06,-0.509569942356897,0.396,0.551,0.286467731109459,forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]
